Rank,Word,Count
1,have,20
2,for,20
3,global,20
4,world,20
5,not,19
6,but,18
7,we,17
8,doubts,17
9,there,16
10,has,16
11,more,14
12,this,13
13,as,13
14,can,13
15,also,12
16,economic,12
17,an,11
18,by,11
19,than,10
20,which,10
21,be,10
22,institutions,10
23,was,10
24,are,9
25,different,9
26,been,9
27,globalization,9
28,many,9
29,use,8
30,they,8
31,power,8
32,even,7
33,so,7
34,one,7
35,only,7
36,or,7
37,these,7
38,economy,7
39,with,7
40,about,6
41,may,6
42,make,6
43,trade,6
44,other,6
45,very,6
46,from,6
47,institutional,6
48,education,5
49,all,5
50,importance,5
51,two,5
52,second,5
53,role,5
54,their,5
55,like,5
56,i,5
57,course,5
58,often,5
59,what,5
60,market,5
61,need,5
62,rights,5
63,people,5
64,much,5
65,social,5
66,united,5
67,when,5
68,inequality,5
