Word,Frequency
madame,1
president,2
faust,1
members,3
of,85
the,171
harvard,10
corporation,1
and,66
board,2
overseers,2
faculty,1
family,2
friends,3
most,4
importantly,1
today's,2
graduates,4
thank,4
you,37
for,19
letting,1
me,15
share,2
this,22
wonderful,1
day,1
with,13
i,46
am,10
not,15
sure,1
can,4
live,1
up,4
to,78
high,1
standards,1
commencement,4
speakers,2
last,6
year,4
jk,1
rowling,1
billionaire,2
novelist,1
who,12
started,2
as,17
a,61
classics,1
student,2
graced,1
podium,1
before,2
bill,1
gates,1
mega-billionaire,1
philanthropist,1
computer,1
nerd,2
stood,1
here,5
today,4
sadly,1
have,27
but,18
at,15
least,2
grateful,1
receive,1
an,13
honorary,1
degree,4
from,17
honor,2
that,30
means,1
more,7
than,6
might,2
imagine,1
may,8
heard,2
morning,2
was,16
academic,1
failure,1
my,20
both,2
brothers,1
degrees,5
older,1
brother,3
gilbert,1
has,10
md,1
-,1
phd,1
younger,1
morgan,1
just,3
named,1
law,1
awarded,1
nobel,2
prize,2
thought,1
mother,2
would,3
be,27
pleased,1
so,7
when,6
called,1
her,3
on,16
announcement,1
she,7
replied,2
that's,3
nice,1
are,16
going,3
visit,1
next,2
now,9
maybe,1
will,28
satisfied,2
another,1
difficulty,2
giving,2
address,2
is,47
some,3
students,4
disapprove,1
fact,2
borrowing,1
material,1
previous,1
speeches,1
other,2
authors,2
ask,5
forgive,1
two,2
reasons,1
first,5
in,42
order,1
it,20
important,2
deliver,1
same,2
message,4
once,3
second,2
borrow,2
others,1
following,1
footsteps,1
best,6
ralph,1
waldo,1
emerson,1
graduated,1
age,3
18,1
noted,1
all,9
thoughts,1
were,4
stolen,1
by,10
ancients,1
picasso,1
declared,1
good,2
artists,2
great,4
steal,1
why,2
should,2
held,1
higher,2
standard,1
also,4
want,3
point,2
out,2
irony,1
speaking,1
institution,1
rejected,4
had,2
chutzpah,1
apply,1
married,1
dean,2
jean,1
former,2
admissions,2
stanford,4
assures,1
given,1
chance,2
showed,1
draft,1
speech,3
objected,1
strongly,1
use,4
word,1
never,3
applicants;,1
letters,1
stated,1
we,26
unable,1
offer,2
admission,1
understanding,1
difference,4
after,3
deans,2
highly,1
selective,1
schools,1
reality,2
rejection,1
clearly,1
lot,1
learn,2
about,8
marketing,1
follow,2
classical,1
sonata,1
form,1
addresses,1
movement,4
presented,1
light-hearted,1
remarks,1
consists,1
unsolicited,1
advice,5
which,2
rarely,1
valued,1
seldom,1
remembered,1
followed,1
oscar,1
wilde,1
said,2
only,6
thing,2
do,2
pass,1
any,1
oneself,1
comes,1
every,2
time,10
celebrate,1
achievement,1
thankful,1
those,3
made,2
possible,1
your,15
parents,2
supported,1
professors,4
inspirational,1
especially,1
whose,1
less-than-brilliant,1
lectures,1
forced,1
teach,3
yourself,2
forward,1
ability,1
hallmark,1
liberal,1
arts,1
education,2
key,1
success,2
fellow,1
added,1
immeasurably,1
during,4
late,2
night,1
discussions,1
hug,1
them,3
future,9
life,8
cultivate,1
generous,1
spirit,2
negotiations,1
don't,7
bargain,1
little,1
advantage,1
leave,3
change,9
